iter	Passed	Remaining
0	0	1181
1	0	1145
2	0	1124
3	0	1110
4	1	1077
5	1	1043
6	1	1023
7	1	1020
8	1	1015
9	2	1004
10	2	997
11	2	976
12	2	976
13	2	985
14	2	982
15	3	985
16	3	1000
17	3	1005
18	3	1004
19	4	1001
20	4	999
21	4	997
22	4	1001
23	4	999
24	5	1002
25	5	1007
26	5	1006
27	5	1013
28	5	1014
29	6	1012
30	6	1009
31	6	1007
32	6	1016
33	7	1022
34	7	1031
35	7	1034
36	7	1030
37	7	1028
38	8	1030
39	8	1027
40	8	1028
41	8	1030
42	8	1031
43	9	1031
44	9	1035
45	9	1036
46	9	1037
47	10	1039
48	10	1040
49	10	1039
50	10	1039
51	10	1040
52	11	1045
53	11	1047
54	11	1054
55	11	1053
56	12	1055
57	12	1065
58	12	1083
59	13	1097
60	13	1112
61	14	1124
62	14	1127
63	14	1129
64	15	1147
65	15	1149
66	15	1149
67	15	1147
68	16	1148
69	16	1153
70	16	1155
71	16	1156
72	17	1159
73	17	1159
74	17	1162
75	17	1160
76	18	1161
77	18	1163
78	18	1163
79	18	1160
80	19	1160
81	19	1159
82	19	1159
83	19	1157
84	20	1157
85	20	1156
86	20	1154
87	20	1153
88	20	1153
89	21	1158
90	21	1158
91	21	1159
92	21	1156
93	22	1155
94	22	1155
95	22	1154
96	22	1154
97	23	1154
98	23	1154
99	23	1152
100	23	1152
101	23	1152
102	24	1151
103	24	1151
104	24	1152
105	24	1151
106	25	1154
107	25	1153
108	25	1150
109	25	1149
110	26	1146
111	26	1145
112	26	1144
113	26	1143
114	26	1143
115	27	1141
116	27	1139
117	27	1136
118	27	1134
119	27	1132
120	28	1130
121	28	1133
122	28	1133
123	28	1133
124	29	1134
125	29	1133
126	29	1131
127	29	1130
128	29	1129
129	30	1129
130	30	1127
131	30	1124
132	30	1124
133	30	1123
134	31	1121
135	31	1122
136	31	1121
137	31	1120
138	32	1119
139	32	1120
140	32	1119
141	32	1119
142	32	1120
143	33	1119
144	33	1118
145	33	1118
146	33	1117
147	34	1116
148	34	1117
149	34	1117
150	34	1117
151	36	1177
152	37	1179
153	37	1178
154	37	1176
155	37	1174
156	38	1173
157	38	1172
158	38	1172
159	38	1170
160	38	1169
161	39	1168
162	39	1167
163	39	1165
164	39	1165
165	39	1164
166	40	1163
167	40	1161
168	40	1159
169	40	1157
170	40	1155
171	41	1154
172	41	1152
173	41	1151
174	41	1150
175	41	1149
176	42	1147
177	42	1146
178	42	1144
179	42	1143
180	42	1141
181	43	1140
182	43	1138
183	43	1137
184	43	1136
185	43	1134
186	44	1134
187	44	1132
188	44	1131
189	44	1129
190	44	1128
191	45	1127
192	45	1125
193	45	1124
194	45	1123
195	45	1121
196	45	1119
197	46	1118
198	46	1117
199	46	1115
200	46	1114
201	46	1114
202	47	1113
203	47	1112
204	47	1111
205	47	1111
206	48	1111
207	48	1113
208	48	1113
209	48	1112
210	48	1111
211	49	1109
212	49	1108
213	49	1107
214	49	1105
215	49	1105
216	50	1104
217	50	1104
218	50	1103
219	50	1103
220	50	1101
221	51	1101
222	51	1101
223	51	1100
224	51	1100
225	52	1100
226	52	1100
227	52	1101
228	52	1100
229	53	1100
230	53	1099
231	53	1099
232	53	1099
233	53	1098
234	54	1098
235	54	1097
236	54	1097
237	54	1097
238	55	1097
239	55	1096
240	55	1097
241	55	1097
242	56	1096
243	56	1096
244	56	1096
245	56	1096
246	57	1097
247	57	1097
248	57	1096
249	57	1096
250	57	1096
251	58	1096
252	58	1095
253	58	1095
254	58	1096
255	59	1100
256	60	1110
257	60	1110
258	60	1110
259	60	1110
260	61	1110
261	61	1110
262	61	1110
263	61	1111
264	62	1111
265	62	1111
266	62	1111
267	62	1111
268	63	1111
269	63	1111
270	63	1111
271	63	1111
272	64	1111
273	64	1111
274	64	1111
275	64	1110
276	65	1110
277	65	1110
278	65	1109
279	65	1110
280	66	1109
281	66	1109
282	66	1108
283	66	1108
284	67	1108
285	67	1109
286	67	1109
287	67	1110
288	68	1112
289	68	1114
290	68	1115
291	69	1114
292	69	1114
293	69	1113
294	69	1113
295	70	1113
296	70	1112
297	70	1112
298	70	1111
299	70	1111
300	71	1111
301	71	1110
