date_time,wind_direction,sky_condition,precipitation_form,wind_speed,humidity,low_temp,high_temp,Precipitation_Probability,number_of_rentals
2018-04-01,207.5,4,0,3.05,75,12.6,21,30,22994
2018-04-02,208.317,2.95,0,3.278,69.833,12.812,19,19.5,28139
2018-04-03,213.516,2.911,0,2.69,74.879,10.312,15.316,19.113,26817
2018-04-04,143.836,3.692,0.425,3.138,71.849,8.312,12.368,43.493,26034
2018-04-05,95.905,4,0.723,3.186,73.784,5.875,10.421,63.378,2833
2018-04-06,256.412,3.466,0.358,3.734,68.885,2.5,9.895,40.068,13297
2018-04-07,288.858,1.912,0,4.824,45.541,1.938,10.947,9.122,13088
2018-04-08,200.939,2.405,0.054,3.865,53.243,4.312,14.211,15.676,7758
2018-04-09,165.196,2,0,2.412,55.473,8.188,17.474,10,23925
2018-04-10,171.541,2.919,0.088,5.607,54.054,8.375,18.474,21.824,20423
2018-04-11,249.716,1.892,0.122,4.66,59.02,7.375,17.895,13.784,25557
2018-04-12,240.878,1.345,0,3.07,45.777,7,16.737,3.446,28885
2018-04-13,141.723,2.257,0,2.47,41.318,8.188,13.579,12.568,29497
2018-04-14,159.5,4,0.473,3.251,68.209,6.75,13.211,50.541,8216
2018-04-15,302.831,2.608,0,3.495,63.446,6.188,16.211,16.081,12721
2018-04-16,285.696,1.399,0,2.486,46.892,6.562,19.368,3.986,29589
2018-04-17,206.764,1.135,0,2.473,42.466,7.312,19.842,1.351,28236
2018-04-18,231.115,1.27,0,2.581,40.743,7.75,21.053,2.703,23499
2018-04-19,211.027,1,0,2.749,46.993,9.375,23,0,20400
2018-04-20,164.601,1,0,2.27,53.378,11.75,24.421,0,28351
2018-04-21,198.764,1.304,0,2.6,44.324,12.812,19.368,3.041,33144
2018-04-22,92.75,3.851,0.284,2.924,62.23,10.438,14.421,37.162,8095
2018-04-23,79.554,4,1,4.127,81.182,9.25,15.158,75.608,1037
2018-04-24,57.149,3.595,0.331,3.586,66.791,8.688,19.737,36.554,24560
2018-04-25,188.081,1.257,0,2.548,41.622,9.75,21.526,2.568,33728
2018-04-26,207.446,1.885,0,2.687,48.885,9.062,21.947,8.851,32547
2018-04-27,213.682,1.716,0,2.486,55.845,9.875,22.789,7.162,32989
2018-04-28,220.061,1,0,2.642,50.642,10.688,23,0,33738
2018-04-29,185.372,1.669,0,2.8,46.047,12.625,23.474,6.689,35159
2018-04-30,192.196,2.845,0,2.409,61.655,15.5,23.842,18.446,32629
2018-05-01,71.833,4,0,2.267,69.167,13.4,20,30,34593
2018-05-02,268.55,4,0.667,2.917,81.75,10.25,18.474,56,8374
2018-05-03,294.452,3.056,0.073,3.781,58.992,9.75,18.947,22.742,25963
2018-05-04,266.452,1.349,0,4.153,46.267,11.625,20.895,3.493,34058
2018-05-05,198.122,1.365,0,3.469,52.973,13.312,21.053,3.649,37389
2018-05-06,108.297,3.946,0.473,3.07,76.25,13.812,22.842,47.23,19809
2018-05-07,282.108,2.892,0,2.63,51.52,13.188,23.684,18.919,40026
2018-05-08,116.818,1.608,0,3.209,48.986,11,21.789,6.081,33738
2018-05-09,159.676,1.23,0,2.648,48.142,10.812,21.211,2.297,37851
2018-05-10,225.446,1.405,0,2.651,52.331,11.75,20.316,4.054,36549
2018-05-11,223.081,2.514,0,2.351,57.162,13.438,19.474,15.135,33923
2018-05-12,154.541,3.946,0.588,2.59,75.405,13.938,21.632,54.392,3551
2018-05-13,230.446,3.108,0.257,2.659,71.757,13.75,25.263,32.162,35668
2018-05-14,200.419,1.358,0,2.533,61.115,16.438,26,3.581,35918
2018-05-15,171.453,2.399,0,2.223,57.872,19,25,13.986,36476
